,brand,product,price,rating,rating_counts,link,material_info
482,Louis Philippe,Men Cotton Formal Shirt,1439,"4.2
|
6","|
6",https://www.myntra.com/shirts/louis-philippe/louis-philippe-men-slim-fit-printed-pure-cotton-formal-shirt/20864112/buy,"100% cotton
Machine wash"
483,Louis Philippe,Men Regular Fit Formal Shirt,2761,,,https://www.myntra.com/shirts/louis-philippe/louis-philippe-men-regular-fit-self-design-white-formal-shirt/19088162/buy,"100% Cotton
Machine Wash"
484,Louis Philippe,Men Slim Fit Formal Shirt,1959,"3.8
|
5","|
5",https://www.myntra.com/shirts/louis-philippe/louis-philippe-men-pink-self-design-slim-fit-pure-cotton-formal-shirt/19092256/buy,"100% cotton
Machine wash"
485,Louis Philippe,Men Pure Cotton Formal Shirt,1559,,,https://www.myntra.com/shirts/louis-philippe/louis-philippe-men-purple-pure-cotton-classic-striped-formal-shirt/20340500/buy,"100% Cotton
Machine Wash"
486,Louis Philippe,Classic Fit Pure Cotton Shirt,1559,,,https://www.myntra.com/shirts/louis-philippe/louis-philippe-men-navy-blue-classic-fit-formal-pure-cotton-shirt/19954848/buy,"100% Cotton
Machine gentle wash only"
487,Indian Terrain,Slim Fit Pure Cotton Shirt,1169,,,https://www.myntra.com/shirts/indian-terrain/indian-terrain-men-chiseled-slim-fit-printed-pure-cotton-formal-shirt/21346284/buy,"100% Cotton
Hand Wash"
488,Louis Philippe,Men Pure cotton Formal Shirt,1559,,,https://www.myntra.com/shirts/louis-philippe/louis-philippe-men-pure-cotton-white-micro-checks-checked-formal-shirt/19844946/buy,"100% Cotton
Machine wash"
489,Van Heusen,Pure Cotton Formal Shirt,919,,,https://www.myntra.com/shirts/van-heusen/van-heusen-men-pure-cotton-striped-long-sleeves-formal-shirt/21115922/buy,"100% Cotton
Machine Wash"
490,Louis Philippe,Checked Formal Shirt,2719,,,https://www.myntra.com/shirts/louis-philippe/louis-philippe-men-white--grey-grid-tattersall-checks-checked-pure-cotton-formal-shirt/17252018/buy,"100% Cotton
Machine wash"
491,Louis Philippe,Formal Shirt,2719,"4.4
|
5","|
5",https://www.myntra.com/shirts/louis-philippe/louis-philippe-permapress-men-blue-micro-checks-checked-formal-shirt/16804138/buy,"100% Cotton
machine wash"
