,brand,product,price,rating,rating_counts,link,material_info
648,U.S. Polo Assn.,Men Hooded Sweatshirt,1649,"4.6
|
9","|
9",https://www.myntra.com/sweatshirts/us-polo-assn/us-polo-assn-men-green-solid-hooded-sweatshirt/19019802/buy,"60% cotton and 40% polyester
Machine wash"
649,HRX by Hrithik Roshan,Rapid-Dry Basketball Jacket,1399,"4.3
|
67","|
67",https://www.myntra.com/jackets/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-men-rapid-dry-basketball-jacket/18195322/buy,"Outer shell: Polyester
Lining fabric: Polyester
Machine wash"
650,Tommy Hilfiger,Men Printed Hooded Sweatshirt,3499,"3.5
|
15","|
15",https://www.myntra.com/sweatshirts/tommy-hilfiger/tommy-hilfiger-men-white-brand-logo-printed-hooded-pure-cotton-sweatshirt/18825178/buy,"100% Cotton
Machine Wash"
651,Roadster,Men Solid Tailored Jacket,979,"4
|
723","|
723",https://www.myntra.com/jackets/roadster/roadster-men-khaki-solid-tailored-jacket-with-detachable-hood/10617900/buy,"100% cotton
Machine-wash"
652,Campus Sutra,Men Solid Sweatshirt,798,"4.1
|
3.4k","|
3.4k",https://www.myntra.com/sweatshirts/campus-sutra/campus-sutra-men-grey-printed-hooded-sweatshirt/10605220/buy,Gentle Machine Wash
653,WROGN,Solid Tailored Jacket,2794,"4.1
|
226","|
226",https://www.myntra.com/jackets/wrogn/wrogn-men-olive-green-solid-tailored-jacket/12421932/buy,"Material:
Shell: 100% Nylon 
Lining: 100% Polyester
Dry Clean"
654,H&M,Men Relaxed Fit Sweatshirt,1999,,,https://www.myntra.com/sweatshirts/hm/hm-men-relaxed-fit-sweatshirt/21470328/buy,"100% Cotton
Machine wash"
655,Invincible,Men Lightweight Sherpa Jacket,1529,"4
|
14","|
14",https://www.myntra.com/jackets/invincible/invincible-men-lightweight-sherpa-jacket/21122806/buy,"Polyester
Machine Wash"
656,H&M,Oversized Fit Cotton Hoodie,2699,"3.8
|
37","|
37",https://www.myntra.com/sweatshirts/hm/hm-men-oversized-fit-cotton-hoodie/20179268/buy,"100% Cotton
Machine wash"
657,HRX by Hrithik Roshan,Lifestyle Jackets,1799,"3.7
|
271","|
271",https://www.myntra.com/jackets/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-lifestyle-men-jet-black-solid-jackets/14281352/buy,"100% Polyester
Knit Jacket
Machine Wash"
658,HERE&NOW,Bomber Jacket,1109,"4.2
|
235","|
235",https://www.myntra.com/jackets/herenow/herenow-men-mustard-yellow-bomber-jacket/14473492/buy,"Outer shell: Polyester
Lining fabric: Polyester
Machine wash"
659,Puma,Outdoor Ottoman Sporty Jacket,2499,"4.2
|
84","|
84",https://www.myntra.com/jackets/puma/puma-men-black-outdoor-ottoman-sporty-jacket/19367718/buy,"85% cotton 15% polyester
Machine Wash"
660,U.S. Polo Assn.,Men Printed Sweatshirt,1499,"4.8
|
15","|
15",https://www.myntra.com/sweatshirts/us-polo-assn/u-s-polo-assn-men-white-brand-logo-printed-round-neck-sweatshirt/19181758/buy,"95% Polyester,5% Elastane
Regular Machine Wash"
661,WROGN,Typography Bomber Jacket,2499,"4.8
|
8","|
8",https://www.myntra.com/jackets/wrogn/wrogn-men-orange-typography-embroidered-bomber-jacket/19547428/buy,"100% Polyester
Outer shell: Polyester
Lining fabric: Polyester
Machine wash"
