,brand,product,price,rating,rating_counts,link,material_info
36,Inddus,Floral Silk Blend Saree,1439,"3.7
|
309","|
309",https://www.myntra.com/sarees/inddus/inddus-women-ivory-floral-embroidered-silk-blend-saree-with-blouse-piece/18340918/buy,"Saree fabric: Satin
Blouse fabric: NA
Dry clean"
37,Tikhi Imli,Sequinned Saree,1455,"4.1
|
1.2k","|
1.2k",https://www.myntra.com/sarees/tikhi-imli/tikhi-imli-beige-sequinned-saree/13737536/buy,"Saree fabric: art silk
Blouse fabric: art silk
Dry-clean"
38,PMD Fashion,Embellished Velvet Saree,1679,"4.4
|
63","|
63",https://www.myntra.com/sarees/pmd-fashion/pmd-fashion-purple-embellished-aari-work-velvet-saree/18744516/buy,Do Not use Brush During The Wash .
39,Ahalyaa,Ready to Wear Saree,1831,"4.2
|
595","|
595",https://www.myntra.com/sarees/ahalyaa/ahalyaa-black-self-striped-ruffled-ready-to-wear-saree/11118674/buy,"Saree fabric: Polyester
Blouse fabric: Art silk
Dry-clean"
40,Sangria,Satin Saree,1519,"3.9
|
505","|
505",https://www.myntra.com/sarees/sangria/sangria-burgundy-sequinned-satin-saree/17223624/buy,"Saree: Satin
Blouse: Silk cotton
Dry Clean"
41,Mitera,Banarasi Silk Blend Saree,1351,"4.3
|
2k","|
2k",https://www.myntra.com/sarees/mitera/mitera-pink--silver-toned-paisley-zari-silk-blend-banarasi-saree/15012182/buy,"Saree fabric: Silk Blend
Blouse fabric: Silk Blend
Dry clean"
42,Mitera,Ethnic Motifs Kanjeevaram Organza Saree,1359,"4.3
|
419","|
419",https://www.myntra.com/sarees/mitera/mitera-blue--gold-toned-ethnic-motifs-zari-organza-kanjeevaram-saree/17392504/buy,"Fabric:- Organza
Wash Care:- Dry Clean"
43,Sangria,Floral Organza Saree,1511,"4.2
|
707","|
707",https://www.myntra.com/sarees/sangria/sangria-olive-green--red-floral-printed-organza-saree-with-sequinned-blouse-piece/17299462/buy,"saree fabric:organza
Blouse fabric:Silk cotton
dry clean"
44,Koskii,Striped Saree,2912,"4
|
34","|
34",https://www.myntra.com/sarees/koskii/koskii-blue--silver-toned-striped-beads-and-stones-saree/19965678/buy,"Poly Georgette
Dry Clean Only"
45,Anouk,Pure Georgette Saree,1599,,,https://www.myntra.com/sarees/anouk/anouk-sequinned-pure-georgette-saree/21245122/buy,"Saree fabric: georgette
Blouse fabric: silk blend
Dry Clean"
46,Mitera,Floral Organza Tussar Saree,1059,"4.1
|
184","|
184",https://www.myntra.com/sarees/mitera/mitera-yellow-floral-print-organza-tussar-saree/19098144/buy,"Saree Fabric: Organza
Blouse Fabric: Organza
Dry-clean"
47,Mitera,Woven Design Kanjeevaram Saree,1039,"4
|
4.7k","|
4.7k",https://www.myntra.com/sarees/mitera/mitera-pink--gold-toned-silk-blend-woven-design-kanjeevaram-saree/11244974/buy,"Saree fabric: silk blend
Blouse fabric: silk blend
Dry-clean"
48,KALINI,Ethnic Motifs Saree,579,"4
|
3.1k","|
3.1k",https://www.myntra.com/sarees/kalini/kalini-black--green-ethnic-motifs-fusion-saree/14975358/buy,"Saree fabric: Silk Blend
Blouse fabric: Silk Blend
Machine wash"
49,Mitera,Floral Pure Chiffon Saree,959,"4.1
|
144","|
144",https://www.myntra.com/sarees/mitera/mitera-pink--gold-toned-floral-zari-pure-chiffon-saree/19442274/buy,"Pure chiffon
Dry clean"
50,Mitera,Floral Pure Chiffon Saree,959,"4.1
|
144","|
144",https://www.myntra.com/sarees/mitera/mitera-pink--gold-toned-floral-zari-pure-chiffon-saree/19442274/buy,"Pure chiffon
Dry clean"
51,AVANTIKA FASHION,Kanjeevaram Pure Silk Saree,1199,,,https://www.myntra.com/sarees/avantika-fashion/avantika-fashion-zari-pure-silk-kanjeevaram-saree/21561428/buy,"Pure Silk
Hand Wash"
52,Mitera,Embellished Saree,1670,"4.4
|
243","|
243",https://www.myntra.com/sarees/mitera/mitera-embellished-saree-with-solid-border/16708820/buy,"Saree fabric: Poly georgette 
Blouse fabric: Poly silk 
Dry-clean"
53,MONJOLIKA FASHION,Woven Design Banarasi Silk Blend Saree,1668,"4.4
|
47","|
47",https://www.myntra.com/sarees/monjolika-fashion/monjolika-fashion-women-mustard--gold-toned-woven-design-silk-blend-banarasi-saree/18992464/buy,"Silk Blend
Dry Clean Only"
54,AVANTIKA FASHION,Woven Design Kanjeevaram Pure Silk Saree,999,"4.5
|
8","|
8",https://www.myntra.com/sarees/avantika-fashion/avantika-fashion-woven-design-zari-pure-silk-kanjeevaram-saree/21530778/buy,"Saree Fabric : Pure Silk 
Blouse Fabric :Pure Silk 
Hand Wash"
55,Inddus,Ruffles Saree with Blouse,1407,"4.4
|
1.1k","|
1.1k",https://www.myntra.com/sarees/inddus/inddus-teal-blue-solid-accordian-pleat-ruffles-saree-with-embroidered-blouse/13843398/buy,"Saree fabric: poly georgette
Blouse fabric: silk blend
Dry-clean"
56,VASTRANAND,Floral Organza Saree,2604,"4.1
|
262","|
262",https://www.myntra.com/sarees/vastranand/vastranand-green-floral-embroidered-organza-saree/16630856/buy,"Organza & Art Silk
First Wash Dry cleaner"
57,Tikhi Imli,Pleated Georgette Saree,857,"4.3
|
681","|
681",https://www.myntra.com/sarees/tikhi-imli/tikhi-imli-maroon-pleated-georgette-saree/16027266/buy,"Georgette
Dry Clean"
58,Satrani,Floral Saree,887,"3.8
|
252","|
252",https://www.myntra.com/sarees/satrani/satrani-black--orange-floral-saree/19298892/buy,"Poly Silk,
Hand wash or Machine wash"
59,Mitera,Ethnic Motifs Pure Georgette Saree,1825,"3.8
|
101","|
101",https://www.myntra.com/sarees/mitera/mitera-ethnic-motifs-pure-georgette-saree-with-embroidered-border/18057366/buy,"Saree fabric: Pure Georgette
Blouse fabric: Art Silk
Dry Clean"
60,trueBrowns,Women Lace Embroidered Velvet Saree Blouse,1799,"3.4
|
17","|
17",https://www.myntra.com/saree-blouse/truebrowns/truebrowns-women-black-lace-embroidered-velvet-saree-blouse/12803262/buy,"Velvet
Dry-clean"
61,flaher,Women Velvet Ready-Made Blouse,1586,"3.9
|
156","|
156",https://www.myntra.com/saree-blouse/flaher/flaher-women-black-solid-velvet-backless-ready-made-padded-blouse/17002368/buy,"Velvet
Dry Clean only"
62,Tikhi Imli,Printed Saree,935,"4.3
|
2.6k","|
2.6k",https://www.myntra.com/sarees/tikhi-imli/tikhi-imli-white--yellow-satin-printed-saree/11263896/buy,"Saree fabric: satin
Blouse fabric: satin
Dry-clean"
